index,real_part,imaginary_part,abs_zeta,abs_xi
1,0.5,14.1347251417346937904572519836,3.9537445e-51,6.8925752e-54
2,0.5,21.0220396387715549926284795939,2.0776515e-51,3.2438934e-56
3,0.5,25.0108575801456887632137909926,2.3675705e-50,2.1837227e-56
4,0.5,30.4248761258595132103118975306,6.7621886e-51,1.2507031e-58
5,0.5,32.9350615877391896906623689641,2.3870563e-50,7.0624073e-59
6,0.5,37.5861781588256712572177634807,4.0959817e-50,3.9568588e-60
7,0.5,40.9187190121474951873981269146,2.6342253e-50,2.1551933e-61
8,0.5,43.3270732809149995194961221654,1.8598885e-50,2.5368935e-62
9,0.5,48.0051508811671597279424727494,6.4923783e-50,2.6882356e-63
10,0.5,49.7738324776723021819167846786,4.6747811e-50,5.1408204e-64
11,0.5,52.9703214777144606441472966089,6.5457906e-50,6.5197231e-65
12,0.5,56.4462476970633948043677594767,3.4602047e-51,2.5121761e-67
13,0.5,59.347044002602353079653648675,5.2075435e-50,4.2288287e-67
14,0.5,60.8317785246098098442599018245,2.7111385e-50,7.1628034e-68
15,0.5,65.1125440480816066608750542532,1.1295912e-49,1.1651702e-68
16,0.5,67.0798105294941737144788288965,3.8618759e-51,8.9508504e-71
17,0.5,69.5464017111739792529268575266,6.2470538e-50,2.2225147e-70
18,0.5,72.0671576744819075825221079698,9.9567417e-50,5.2063063e-71
19,0.5,75.704690699083933168326916762,9.0690675e-50,2.9693154e-72
20,0.5,77.1448400688748053726826648563,1.0276253e-49,1.1220789e-72
